date,ConsumerDSR,TotalDSR,MortgageDSR
2017Q4,5.620305,9.812089,4.191784
2018Q1,5.577771,9.724860,4.147089
2018Q2,5.556366,9.691006,4.134640
2018Q3,5.583529,9.695042,4.111512
2018Q4,5.612760,9.723609,4.110849
2019Q1,5.635977,9.757882,4.121906
2019Q2,5.697560,9.824134,4.126575
2019Q3,5.728861,9.849109,4.120249
2019Q4,5.755783,9.859135,4.103352
2020Q1,5.712054,9.779161,4.067107
2020Q2,5.087612,8.803364,3.715752
2020Q3,5.278652,9.125128,3.846476
